	1	2	3	4	5	6	7	8	9	10	11	12	13	15	16	17	18	19	20	21	22	23
Date Time	DeC2FeedFlow.m	DeC2AmbTemp.m	DeC2FeedTemp.m	DeC2OvhdPress.m	DeC2ProdPress.m	DeC2ProdTemp.m	DeC2OvhdTemp.m	DeC2RefTemp.m	DeC2Tr39Temp.m	% C3 IN C2 COMP	DeC2Tr9Temp.m	DeC2Tr1Temp.m	DeC2RebAVapTemp.m	DeC2BtmTempA.m	DeC2BtmTempB.m	DeC2RefFlow.m	DeC2ProdFlow.m	DeC2RebSteamA.m	DeC2RebSteamB.m	DeC2BtmFlow.m	DeC2TopDeltaP.m	DeC2Bott.DeltaP.m
Date Time	10f010.pv	11T0030.PV	10T0003.PV	10p012.pv	10P020.PV	10T0015.PV	10T0009.PV	10T0010.PV	10T013.PV	10A100C3.PV	10T014.PV	10T0006.PV	10T0002.PV	10T0004.PV	10T0005.PV	10f015.pv	10F016.PV	10f012.pv	10f021.pv	10fz013.pv	10P010.pv	10P011.pv
8/13/2004 18:45	8.703958511	96.69317627	201.0436554	385.0078125	379.2827148	41.58751297	47.42840576	43.40415192	79.86161804	1.501205564	131.1052246	181.1846008	199.0515442	201.7384491	204.4829254	5.993225098	4928.256836	92.93744659	93.02119446	5400.000488	1.443502426	2.180681467
8/13/2004 18:50	8.71027565	96.62450409	200.8353577	385.0078125	379.2550049	41.8347168	47.29124451	43.45908737	80.09281158	1.510666251	131.0975952	181.2527313	199.5367279	201.8735962	204.3730621	6.008503914	4922.733887	93.3092041	92.91587067	5385.943359	1.440991759	2.177693605
8/13/2004 18:55	8.695108414	96.81066895	201.2934875	385.007782	379.2203369	42.00181961	47.66368866	43.51402283	79.95738983	1.510666251	131.0899811	181.5748596	199.1280212	202.0383911	204.6125641	6.000109673	4910.117676	91.92098999	92.93169403	5393.601563	1.438480854	2.174706221
8/13/2004 19:00	8.704839706	96.89458466	201.052887	385.0135803	379.1856689	41.96886063	47.19660187	43.56895447	79.82196808	1.510666251	131.0823364	181.3708344	199.3653412	201.8637238	204.1445465	5.993591309	4958.226074	92.65419006	93.03524017	5342.084961	1.437351942	2.173005819
8/13/2004 19:05	8.707289696	96.97851563	201.052887	385.0288391	379.151001	41.93590164	47.3849411	43.47117615	79.6865387	1.516647816	130.8624573	181.6180115	199.4199524	201.7763519	204.6291962	5.984002113	4903.833496	92.80717468	93.13878632	5425.635254	1.438477993	2.173405409
8/13/2004 19:10	8.696905136	97.06244659	201.052887	385.0440979	379.1307373	41.90293884	47.59447479	43.47117615	79.79579163	1.516769886	130.6676941	180.8769836	199.1374207	201.8587494	204.6578522	5.982946396	4912.379395	92.97291565	93.24233246	5391.98877	1.439603925	2.17380476
8/13/2004 19:15	8.693344116	97.14637756	201.052887	385.0593567	379.1340942	41.57707596	47.42967224	43.47117615	80.11597443	1.516769886	130.77211	181.3283234	198.9550018	201.9411621	204.6865082	5.989499092	4946.752441	93.42401886	93.30587006	5398.35498	1.440730095	2.17420435
8/13/2004 19:20	8.71112442	96.81906128	201.052887	385.0658875	379.1373901	41.79681396	47.53184891	43.47117615	80.12447357	1.500839233	130.8765106	181.3942261	199.202179	202.0235748	204.7151794	5.997673512	5031.52002	93.56700897	93.30413055	5379.577148	1.442483425	2.174463511
8/13/2004 19:25	8.70635128	96.63595581	201.2706909	385.0325928	379.1407166	41.96313095	47.62621307	43.47117615	80.12256622	1.492131829	130.9809113	181.4601593	199.4037323	202.1059723	204.7438354	6.036732197	4974.008789	93.67922974	93.30240631	5375.453613	1.447094798	2.174082041
8/13/2004 19:30	8.696706772	96.44424438	201.1916046	384.9992981	379.1440125	41.81100845	47.69560242	43.22068024	80.12065887	1.495406985	131.1905518	181.5260773	199.3177795	201.5934296	204.8314209	6.00303936	4981.328125	94.06987	93.30065918	5364.109863	1.451706171	2.173700809
8/13/2004 19:35	8.700826645	96.40477753	201.1124725	384.9660034	379.1421509	41.65888596	47.76499176	43.29392242	80.11875153	1.504562616	131.0927582	181.7469177	199.2317963	201.6071625	204.5334625	6.013904095	5023.593262	94.06758118	93.29892731	5380.986816	1.456317425	2.173319101
8/13/2004 19:40	8.710385323	96.96630859	201.033371	384.9327087	379.138855	41.68474579	47.10995865	43.73485947	79.97436523	1.505935907	130.9949646	181.6480408	199.1457825	201.6346283	204.4807281	6.047376633	5027.87793	93.54495239	93.2208786	5370.049316	1.460928798	2.17293787
8/13/2004 19:45	8.706479073	96.97393799	200.9542694	384.938385	379.1355286	42.03412247	47.35122681	43.73485947	79.47063446	1.511352897	130.8971405	181.5491486	198.9566345	201.6620941	204.9553528	5.992268085	4919.663086	92.7359314	93.14126587	5464.900391	1.461672902	2.171204329
8/13/2004 19:50	8.700277328	96.98156738	200.6573639	384.9550171	379.1322327	41.69373703	47.15346527	43.73485947	79.73683167	1.513718128	130.6697235	181.4502716	199.3521576	201.6895599	204.2236328	5.987164021	4997.051758	93.07992554	93.06165314	5408.566895	1.461326241	2.169089317
8/13/2004 19:55	8.703782082	96.98918915	201.2691193	384.9716492	379.1294861	41.87351608	47.2417984	43.73485565	79.88834381	1.504791498	130.7772522	181.3126831	199.4839935	201.9494019	204.3488922	6.001345158	4971.532715	93.96580505	92.98204041	5363.241211	1.460979462	2.166974306
8/13/2004 20:00	8.701086044	96.9968338	200.8155823	384.9883118	379.1294861	42.13959503	47.42373657	43.73485565	79.84828186	1.478164077	130.8847961	181.4068604	199.1135254	202.0026855	204.851181	6.009369373	4989.26709	93.10023499	92.87440491	5360.756348	1.460632801	2.164859295
8/13/2004 20:05	8.703864098	97.23151398	201.1768036	384.9953003	379.1294861	41.9682045	47.55557632	43.74183655	79.80823517	1.492355108	130.9923401	181.8042603	199.1794434	202.0301361	204.7852783	6.019715309	5040.661133	93.86444855	92.72105408	5353.364746	1.45878911	2.163258076
8/13/2004 20:10	8.694527626	97.25440216	201.2480164	384.9866028	379.1294861	42.14712524	47.59776688	43.78060913	79.76818085	1.492355108	131.0998688	181.8042603	199.5713348	202.0576172	204.7193604	6.018523693	5034.543457	94.03553772	92.56769562	5294.039551	1.45450294	2.162495375
8/13/2004 20:15	8.704015732	97.27729034	201.1601257	384.9778748	379.1294861	42.11573792	47.55821228	43.81938553	79.7281189	1.492355108	131.039505	181.8042603	199.4889374	202.0850983	204.6534424	6.027924061	5029.020508	93.85205078	92.41434479	5319.525391	1.45021677	2.161732674
8/13/2004 20:20	8.705046654	97.30018616	201.0722198	384.9691467	379.1306152	42.08434677	47.55821228	43.85816193	79.71439362	1.52287364	130.8849945	181.8042603	199.4065247	202.3449249	204.7048492	5.988409042	4996.313477	92.90215302	92.2609787	5408.321289	1.445930839	2.160969973
8/13/2004 20:25	8.709671974	97.32306671	200.8609009	384.9573975	379.1370239	42.05295563	47.55821228	43.48591232	79.87512207	1.52287364	130.7305145	181.8042603	199.3241272	202.3712921	204.670578	5.962237358	4990.980957	93.97183228	92.18323517	5382.695801	1.444743991	2.16079998
8/13/2004 20:30	8.726706505	96.94541168	200.9845123	384.9317322	379.1434021	42.02156448	47.55821228	43.52468491	80.03585052	1.522873521	130.5978088	181.6498108	199.2417297	201.7911835	204.6703796	5.968126297	4996.152832	92.98074341	92.22884369	5418.286621	1.457676649	2.163331032
8/13/2004 20:35	8.696187973	96.85385132	201.1080933	384.9060974	379.1498108	41.75396347	47.7955246	43.5634613	80.19551086	1.515732408	130.7325897	182.160202	199.3890686	201.8926086	204.8224945	6.017786026	5040.327637	93.98327637	92.27445984	5347.340332	1.470609307	2.165862083
8/13/2004 20:40	8.703513145	96.76229095	201.3877716	384.8804016	379.1561584	41.82844925	47.79450989	43.6022377	80.0710907	1.513718128	130.8674011	181.8193207	199.5209045	202.2130737	204.9746399	6.04044342	5086.389648	94.34797668	92.32006073	5270.989258	1.483541727	2.168393135
8/13/2004 20:45	8.704764366	96.67074585	201.9494019	384.8547363	379.1571045	42.27143097	47.64238739	43.90624619	79.94667053	1.513718128	131.6824799	182.1878967	200.0113678	202.1254425	205.1742096	6.092187881	5139.1875	92.40058899	92.36567688	5330.485352	1.496474385	2.170924187
8/13/2004 20:50	8.697561264	96.57918549	201.3627167	384.8870544	379.1499023	42.28461456	47.49026871	43.24089813	78.79780579	1.522568464	131.2396698	182.121994	199.4483948	202.0091095	204.8136292	5.985704899	4885.123535	91.88487244	92.65129852	5368.724609	1.497591376	2.16884613
8/13/2004 20:55	8.692609787	97.13767242	200.713028	384.93573	379.1426392	42.23187637	47.92736816	43.32878876	79.68260956	1.545838952	130.4271545	181.5933075	199.2506409	201.8927917	204.4345856	5.955694675	4880.624512	92.66526031	93.00463104	5498.61084	1.495375514	2.165467978
8/13/2004 21:00	8.704868317	97.48969269	200.8595123	384.984436	379.1354065	41.83372498	47.51489639	43.4166832	79.89867401	1.553392291	130.5786591	181.6697845	199.3620453	202.0350952	204.3719788	6.029261112	5040.280273	94.27206421	93.35795593	5391.262695	1.493160009	2.162090063
8/13/2004 21:05	8.697553635	97.57362366	201.3165741	385.0331421	379.1228943	42.28461456	47.10995865	43.77770233	79.89206696	1.506306529	130.7301636	181.8016205	199.6026459	202.3646851	204.5927887	6.022003651	5027.052734	93.78423309	93.71128082	5375.475586	1.490944266	2.158712149
8/13/2004 21:10	8.698764801	97.65755463	201.3165741	385.0451355	379.0862427	42.28461456	47.86144638	43.93261719	79.93782806	1.470992327	131.0275116	182.1470337	199.6026459	202.0350952	204.735611	6.109805584	5061.34668	93.70632172	93.67260742	5289.532227	1.486936808	2.155242205
8/13/2004 21:15	8.697457314	97.74147034	201.3165741	385.0305786	379.0495911	42.28461456	47.67687225	43.94884491	79.99214172	1.470992327	131.2651367	182.2484589	199.6026459	202.3646851	204.9685364	6.053582668	5123.381348	93.32338715	93.3500824	5231.531738	1.481631994	2.151705742
8/13/2004 21:20	8.706145287	97.82540131	201.3165741	385.0159912	379.0130005	42.28461456	47.782341	43.89813232	79.52386475	1.52287364	131.443222	182.568924	199.6026459	202.2974548	204.9178009	6.040394783	5019.903809	93.18874359	93.027565	5359.901367	1.4763273	2.148169041
8/13/2004 21:25	8.712538719	97.86644745	201.3165741	385.0014343	378.9763184	41.76264954	47.32090378	43.48600769	79.66941833	1.521713853	131.1685486	182.0340271	199.6026459	201.8993073	204.5202789	5.984855175	4968.842773	92.56188202	92.70503998	5406.109863	1.471022487	2.144632578
8/13/2004 21:30	8.70710659	97.80541229	200.7616425	384.990448	378.9855347	41.79261398	47.45603943	43.56840897	79.81497192	1.519821763	130.5642853	181.8456879	199.1487579	201.7674408	204.3192291	5.963060379	4909.094238	93.16079712	92.44619751	5425.849609	1.467666626	2.142012835
