	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22
Date Time	DeC2FeedFlow.m	DeC2AmbTemp.m	DeC2FeedTemp.m	DeC2OvhdPress.m	DeC2ProdPress.m	DeC2ProdTemp.m	DeC2OvhdTemp.m	DeC2RefTemp.m	DeC2Tr39Temp.m	DeC2Tr9Temp.m	DeC2Tr1Temp.m	DeC2RebAVapTemp.m	DeC2BtmTempA.m	DeC2BtmTempB.m	DeC2RefFlow.m	DeC2ProdFlow.m	DeC2RebSteamA.m	DeC2RebSteamB.m	DeC2BtmFlow.m	DeC2TopDeltaP.m	DeC2Bott.DeltaP.m	% C3 IN C2 COMP
Date Time	10f010.pv	11T0030.PV	10T0003.PV	10p012.pv	10P020.PV	10T0015.PV	10T0009.PV	10T0010.PV	10T013.PV	10T014.PV	10T0006.PV	10T0002.PV	10T0004.PV	10T0005.PV	10f015.pv	10F016.PV	10f012.pv	10f021.pv	10fz013.pv	10P010.pv	10P011.pv	10A100C3.PV
8/1/2004 4:25	7.290757656	94.48531342	200.3014221	385.0981445	379.92276	39.91149902	42.41645813	41.71624374	57.37174606	129.3957367	182.6875763	198.4951782	201.5527039	203.4391937	5.639258862	4764.314941	81.91549683	80.58873749	4331.189941	1.363268852	1.991441965	0.187906817
8/1/2004 4:30	7.19769907	94.07819366	201.4220428	385.0933228	379.92276	40.15240479	42.41645813	41.38547134	58.45729065	130.5111847	183.4420013	198.6914978	201.7324524	204.5861969	5.740672112	4892.787598	82.23880005	80.14468384	4066.674072	1.366120934	1.987276196	0.180059209
8/1/2004 4:35	7.151768684	94.42578888	201.3272858	385.0816956	379.92276	40.09247971	42.07367325	41.84954834	57.13339996	131.2454224	183.5884857	199.0489197	201.9559937	204.4741211	5.641749382	4482.42334	80.54711914	79.70064545	4179.769043	1.357878089	1.981319308	0.181508839
8/1/2004 4:40	7.156254768	93.8289032	201.2036743	385.0700684	379.92276	40.03255081	42.54829407	41.82449722	56.87738037	131.4655914	183.8421326	199.0752869	201.8461151	204.3328705	5.614292622	4643.222168	79.35475922	79.2565918	4202.712891	1.346505761	1.975362301	0.19180885
8/1/2004 4:45	7.133060932	93.74272919	201.0800781	385.0584717	379.9346619	39.97262573	42.54829407	41.75857925	56.63720322	130.8928223	183.6537781	199.0752869	201.7362671	203.9797516	5.558690548	4364.376465	79.02186584	78.81255341	4286.733887	1.335133433	1.969405293	0.20142217
8/1/2004 4:50	7.135868549	93.65656281	200.7414246	385.0378723	380.0008545	39.91269684	42.54829407	41.69266129	56.76118851	129.8473358	183.3830261	198.358963	201.6263885	203.6303558	5.501437187	4388.657227	78.9635849	78.62882996	4247.318848	1.323761106	1.96748662	0.177007377
8/1/2004 4:55	7.14631176	93.57039642	200.6590271	385.0108337	380.0670166	39.82580566	42.54829407	41.6267395	57.69585037	129.750824	183.5478363	198.2857208	201.5670776	203.8083344	5.548550129	4582.520996	79.51692963	78.5185318	4160.905762	1.316947341	1.96849215	0.177007362
8/1/2004 5:00	7.134739399	93.27494049	200.5766296	384.9837952	380.1332092	39.76039505	42.02093506	41.19034958	57.52413177	130.3945465	183.7686615	198.4424591	201.8439331	203.7075195	5.607623577	4470.854004	79.62226105	78.40823364	4084.212646	1.317571521	1.9694978	0.171028227
8/1/2004 5:05	7.162962914	93.36650085	200.4942322	384.9567261	380.1994019	39.70968628	42.02093506	40.98467636	57.17887115	130.5141907	183.6954193	198.8718719	201.8439484	203.5911865	5.60605526	4602.992676	78.54062653	78.29794312	4110.211426	1.318195462	1.970502973	0.161976993
8/1/2004 5:10	7.189665318	93.45805359	200.4118347	384.936554	380.1898193	39.65897369	42.02093506	41.49357605	56.08432388	129.6968079	183.265274	198.6835632	201.3693085	203.474884	5.545555115	4406.178223	78.16783142	78.25720978	4231.446289	1.318819523	1.971673608	0.161748111
8/1/2004 5:15	7.199660301	93.81664276	200.6105042	384.9475098	380.1613464	39.79284668	42.02093506	41.49357605	56.74550629	128.6532135	183.3251953	198.2381287	201.4656525	203.5446625	5.52106142	4519.010254	79.82840729	78.53340149	4276.20166	1.319443583	1.973595977	0.170903653
8/1/2004 5:20	7.197412014	93.83190155	200.7569885	384.9584961	380.1328735	39.77966309	42.76112366	41.49357605	57.828228	129.3606415	183.3851318	198.3479767	201.6177673	204.0418854	5.613910198	4752.103516	80.00739288	78.8095932	4091.839355	1.323104024	1.975518107	0.166170165
8/1/2004 5:25	7.235939026	93.84716034	201.1803131	384.9695129	380.1043701	40.23545456	42.47860718	41.49357605	57.66418839	129.9856567	183.6566162	198.6402283	202.0186157	204.3043976	5.697647095	4597.469727	80.43816376	79.08578491	4022.239014	1.326826453	1.977440238	0.164799958
8/1/2004 5:30	7.24845171	93.86242676	200.9526978	384.9804688	380.0758667	40.0471077	42.26212311	41.49357605	56.57033157	129.8025513	183.7422943	198.4204865	201.580246	204.0571899	5.659572124	4711.184082	79.55183411	79.36197662	4174.407227	1.330548882	1.979362488	0.164799958
8/1/2004 5:35	7.238380432	93.87767792	200.4260712	384.9925842	380.0395508	39.77966309	42.22335434	41.37252808	56.85243225	128.8421326	182.8721619	198.1593933	201.1056213	203.4457855	5.589808941	4666.217285	80.225914	79.76184082	4272.826172	1.334271193	1.982220173	0.164799958
8/1/2004 5:40	7.25178957	94.06292725	200.6058502	385.0097351	380.0030823	39.77966309	42.18457413	41.43245316	57.42027283	128.8711243	182.936203	198.1981812	201.1451874	203.2875824	5.618140221	4592.185547	81.60915375	80.72507477	4159.324707	1.337993622	1.989339352	0.163151965
8/1/2004 5:45	7.432523727	94.12395477	200.7855988	385.0269165	379.9666138	39.77966309	41.79681015	41.49238205	57.65180206	130.0540161	182.8420258	198.236969	201.2393646	203.7474976	5.845198154	4826.278809	81.18457794	81.68832397	4140.461426	1.352831602	1.996458769	0.155644402
8/1/2004 5:50	7.454321861	94.70714569	201.0067444	385.0440674	379.9301147	39.77966309	41.84624863	41.55230713	55.75182343	128.8744812	182.7478485	198.2757416	201.5538788	203.8996124	5.70950079	4537.815918	80.8378067	82.65156555	4351.741211	1.367896557	2.003577948	0.155644402
8/1/2004 5:55	7.458174706	95.07492828	201.1166077	385.0612488	379.8831787	39.77966309	42.47578812	41.61223602	56.42872238	127.620285	182.4590454	199.2027283	201.9032593	204.0517426	5.616876602	4707.422852	83.21720123	83.6147995	4470.11377	1.382961392	2.010697365	0.155644402
8/1/2004 6:00	7.458785057	95.04471588	201.7460022	385.0665894	379.8190918	40.42567062	42.90426254	41.88909912	59.27305222	128.7270813	182.9776306	199.4224701	202.5822296	204.8235016	5.88096571	4997.075684	83.84159851	83.82541656	4196.66748	1.398026347	2.015753984	0.179570913
8/1/2004 6:05	7.454805374	94.99893951	201.9343414	385.0526733	379.7550049	39.93127823	42.38514709	41.4144783	57.99066544	130.5539093	182.8985291	199.5309601	202.527298	205.1882477	5.97312355	4679.310059	83.28807068	83.82376099	4163.149414	1.409979463	2.017445326	0.165181443
8/1/2004 6:10	7.461531639	94.95315552	201.6405182	385.0387268	379.6909485	39.82251358	42.30274582	41.47574234	56.62602997	129.568924	182.7872009	199.4073639	202.4174194	204.9685211	5.818585873	4744.367676	82.95891571	83.82210541	4463.512207	1.407757521	2.019136667	0.164799958
8/1/2004 6:15	7.472518921	94.90737915	201.452179	385.0247803	379.6268616	39.87744522	42.22034454	41.59207153	56.83202744	129.4409943	182.37117	199.2837677	202.0734406	204.549057	5.763208389	4700.686035	82.98084259	83.82044983	4464.537598	1.405535579	2.020828009	0.204474017
8/1/2004 6:20	7.461287498	94.60617065	201.1641693	385.0108337	379.6022949	39.93237686	42.13794327	41.70839691	57.70287704	129.9105835	182.874649	198.9604034	201.983551	204.7288055	5.831397533	4677.619629	83.25669098	83.79988861	4324.780762	1.403313518	2.02251935	0.189596251
8/1/2004 6:25	7.467171192	95.00753784	201.1377869	385.0140076	379.6420593	39.98731232	42.05554199	41.82647324	57.53827667	130.3884888	182.9158325	199.0545807	201.8936615	205.1135559	5.889022827	4682.880371	82.79351807	83.69324493	4270.540039	1.401091576	2.022400141	0.189214766
8/1/2004 6:30	7.464485645	95.26902008	201.1114349	385.0219727	379.6818848	40.04224396	42.33471298	41.48698807	56.55354309	130.3210754	182.9570313	199.1487579	201.8037567	204.5786591	5.825977802	4574.379883	82.76924896	83.58660889	4403.150879	1.399446607	2.02177	0.183111057
8/1/2004 6:35	7.47320509	95.45213318	201.0850677	385.0299377	379.7216797	39.95632935	42.46655655	41.87591553	56.62665176	129.8785553	183.3467865	198.877533	201.7138977	204.3903046	5.74268055	4474.02002	82.44756317	83.47996521	4448.494141	1.398219585	2.02113986	0.185477793
